PID,trial,response,rt,accuracy,display,filename,gradient_type,inversion_type,light_direction,quadrant,num_distractors,answer,distractor_bin
33,10.0,3,1146.299999988085,0,Task,image_89.jpg,horizontal,original,left,Quadrant 4,26.0,4.0,25-32
33,11.0,3,1083.8999999999942,0,Task,image_49.jpg,vertical,inverted,bottom,Quadrant 2,20.0,2.0,17–20
33,12.0,2,1180.6000000000058,1,Task,image_100.jpg,horizontal,inverted,right,Quadrant 2,6.0,2.0,5–8
33,13.0,4,1496.499999988082,0,Task,image_87.jpg,horizontal,original,left,Quadrant 2,21.0,2.0,21–24
33,14.0,1,742.8999999999942,0,Task,image_5.jpg,vertical,original,top,Quadrant 3,5.0,3.0,5–8
33,15.0,2,741.9999999821157,0,Task,image_20.jpg,vertical,original,top,Quadrant 3,23.0,3.0,21–24
33,16.0,1,805.8999999761581,0,Task,image_114.jpg,horizontal,inverted,right,Quadrant 3,17.0,3.0,17–20
33,17.0,1,1824.399999988076,0,Task,image_85.jpg,horizontal,original,left,Quadrant 4,22.0,4.0,21–24
33,18.0,2,573.8999999761581,1,Task,image_97.jpg,horizontal,inverted,right,Quadrant 2,1.0,2.0,1–4
33,19.0,1,554.3999999880762,0,Task,image_69.jpg,horizontal,original,left,Quadrant 3,5.0,3.0,5–8
33,20.0,2,626.2999999880849,1,Task,image_65.jpg,horizontal,original,left,Quadrant 2,1.0,2.0,1–4
33,21.0,2,605.999999988082,0,Task,image_107.jpg,horizontal,inverted,right,Quadrant 3,9.0,3.0,9–12
33,22.0,1,724.2999999940366,0,Task,image_12.jpg,vertical,original,top,Quadrant 3,15.0,3.0,13–16
33,23.0,4,854.5999999821215,0,Task,image_32.jpg,vertical,inverted,bottom,Quadrant 3,2.0,3.0,1–4
33,24.0,1,805.0999999940395,1,Task,image_67.jpg,horizontal,original,left,Quadrant 1,4.0,1.0,1–4
33,25.0,1,825.8999999880762,0,Task,image_77.jpg,horizontal,original,left,Quadrant 2,16.0,2.0,13–16
33,26.0,2,1010.499999976164,0,Task,image_27.jpg,vertical,original,top,Quadrant 1,29.0,1.0,25-32
33,27.0,2,793.2999999880849,0,Task,image_121.jpg,horizontal,inverted,right,Quadrant 4,26.0,4.0,25-32
33,28.0,2,1055.1000000000058,0,Task,image_98.jpg,horizontal,inverted,right,Quadrant 4,3.0,4.0,1–4
33,29.0,1,564.3999999821244,1,Task,image_42.jpg,vertical,inverted,bottom,Quadrant 1,11.0,1.0,9–12
33,30.0,3,766.7999999880849,0,Task,image_68.jpg,horizontal,original,left,Quadrant 2,6.0,2.0,5–8
